"Tabela 21 - Produto interno bruto a preços correntes, impostos, líquidos de subsídios, sobre produtos a preços correntes e valor adicionado bruto a preços correntes total e por atividade econômica, e respectivas participações - Referência 2002 (Série encerrada)"
"Variável - Produto Interno Bruto a preços correntes (Mil Reais)"
"Brasil e Município";"Ano"
"Brasil e Município";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012"
"Sumidouro (RJ)";"79567";"85482";"88306";"90719";"125490";"125211";"143487";"124673";"190190";"195674";"192770";"254464";"281431"
"Tanguá (RJ)";"102553";"114352";"129443";"152139";"151207";"156366";"168768";"191412";"203327";"248466";"289224";"337688";"360057"
"Teresópolis (RJ)";"903016";"957728";"1116337";"1229247";"1500749";"1514959";"1601754";"1729817";"2118107";"2921723";"2784556";"3205590";"3490737"
"Trajano de Moraes (RJ)";"37425";"45272";"46455";"51893";"57268";"57750";"61395";"69136";"94258";"79944";"91565";"111121";"122486"
"Três Rios (RJ)";"544540";"559932";"620093";"711293";"734076";"776509";"890711";"972782";"1161055";"1376758";"1738084";"1809486";"2082347"
"Valença (RJ)";"341619";"358759";"406272";"439996";"475366";"488870";"525666";"563013";"674367";"772709";"991142";"1042320";"1108237"
"Varre-Sai (RJ)";"28372";"32570";"34604";"40037";"49700";"55492";"63228";"72805";"87532";"88339";"96196";"119133";"134378"
"Vassouras (RJ)";"185278";"203613";"197367";"221913";"236307";"246892";"267606";"285723";"321224";"354560";"407809";"463993";"547710"
"Volta Redonda (RJ)";"3859693";"3766426";"4584053";"5157154";"6336819";"5714374";"5975893";"6755544";"8943345";"7593897";"9076465";"9097454";"9187069"
"Adamantina (SP)";"180693";"232527";"261797";"305404";"310493";"349500";"417287";"423727";"444791";"531900";"558318";"588873";"641664"
"Adolfo (SP)";"27370";"44539";"37642";"40301";"43477";"40537";"49570";"77348";"70544";"68428";"101801";"106355";"86984"
"Aguaí (SP)";"194620";"267226";"265758";"300904";"445295";"413441";"541218";"690820";"576467";"476558";"609824";"675567";"601304"
"Águas da Prata (SP)";"50962";"47154";"54925";"60158";"76978";"52435";"69880";"91568";"120912";"192819";"226930";"115985";"119340"
"Águas de Lindóia (SP)";"73022";"86366";"93955";"100905";"106176";"121674";"130814";"136719";"146473";"172777";"197163";"218265";"238651"
"Águas de Santa Bárbara (SP)";"25710";"36788";"41490";"41485";"46986";"46519";"55218";"55990";"61246";"101071";"176738";"134886";"138285"
"Águas de São Pedro (SP)";"23242";"24829";"29247";"32508";"34715";"38127";"37555";"41660";"45308";"50880";"57234";"61071";"67498"
"Agudos (SP)";"307262";"326167";"354733";"399160";"406673";"516262";"613954";"648937";"620928";"753623";"938964";"1099730";"1165486"
"Alambari (SP)";"14462";"22604";"23245";"28764";"34407";"41689";"43136";"45648";"55815";"64998";"93507";"99222";"87588"
"Alfredo Marcondes (SP)";"14058";"15807";"18414";"20155";"20894";"23457";"25247";"28649";"33852";"38085";"47262";"50551";"58998"
"Altair (SP)";"32917";"62265";"71688";"81982";"81540";"77915";"97947";"110271";"103538";"96195";"142024";"167248";"164711"
"Altinópolis (SP)";"103667";"113243";"157116";"155466";"191328";"220855";"249587";"231165";"287025";"231416";"369873";"332872";"363820"
"Alto Alegre (SP)";"16443";"17229";"29019";"30667";"33342";"31621";"39707";"42542";"39099";"38370";"58837";"72903";"79152"
"Alumínio (SP)";"347865";"562395";"575738";"786790";"1350245";"1515851";"1720205";"1893764";"1714602";"1694184";"1791983";"1475958";"1526433"
"Álvares Florence (SP)";"17196";"21205";"26036";"29529";"36994";"43658";"49750";"53452";"54443";"56414";"64428";"78124";"88446"
"Álvares Machado (SP)";"79680";"86856";"104880";"114819";"123533";"135204";"151337";"162863";"179176";"199329";"234314";"242301";"269694"
"Álvaro de Carvalho (SP)";"13490";"13792";"17956";"18483";"21396";"22986";"23490";"30685";"38315";"36339";"40582";"46521";"47597"
"Alvinlândia (SP)";"11297";"10852";"12830";"14978";"18991";"21206";"22678";"30585";"26485";"28289";"37989";"37672";"38694"
"Americana (SP)";"2447711";"2689882";"3157416";"3630483";"4229671";"4229458";"4667360";"5199137";"5294188";"6125810";"6659249";"6846308";"7131532"
"Américo Brasiliense (SP)";"136148";"191043";"289808";"373866";"267755";"358448";"377550";"410872";"466262";"578843";"684459";"677808";"557896"
"Américo de Campos (SP)";"21069";"24487";"28225";"31321";"39130";"38552";"37892";"44673";"44266";"49535";"62466";"73683";"74381"
"Amparo (SP)";"612852";"627347";"695072";"819185";"1025231";"1143227";"1218896";"1249684";"1406745";"1783700";"2023275";"2231636";"2332511"
"Analândia (SP)";"29067";"38477";"46054";"46034";"51861";"55825";"70467";"68523";"82761";"70820";"78990";"94477";"90133"
"Andradina (SP)";"426073";"439849";"575988";"534003";"613228";"572734";"703507";"733650";"746494";"949425";"1093553";"1383442";"1322018"
"Angatuba (SP)";"117214";"131739";"138213";"172765";"208519";"207126";"217549";"255136";"291988";"370611";"512905";"543925";"569169"
"Anhembi (SP)";"20914";"26406";"37227";"49371";"63656";"59619";"64305";"87200";"82463";"91268";"116956";"111594";"146019"
"Anhumas (SP)";"12722";"16634";"18645";"23028";"24036";"24240";"27497";"30809";"34655";"37066";"41668";"40941";"55010"
"Aparecida (SP)";"159730";"168492";"185639";"202015";"222011";"255217";"280855";"326077";"377749";"392970";"433117";"480344";"528523"
"Aparecida d'Oeste (SP)";"18876";"25742";"28196";"29146";"30410";"31170";"39227";"38465";"40668";"46594";"54610";"55870";"55863"
"Apiaí (SP)";"153579";"138147";"183567";"162759";"158707";"165947";"175443";"212738";"215984";"263327";"309663";"354237";"368619"
"Araçariguama (SP)";"169026";"198304";"222028";"295228";"366817";"423215";"486139";"876908";"1468109";"1460138";"1501894";"1457943";"1425276"
"Araçatuba (SP)";"1261765";"1351266";"1439447";"1560062";"1712587";"1885373";"2165517";"2470498";"2721729";"3001295";"3502583";"3900917";"4822676"
"Araçoiaba da Serra (SP)";"88781";"98698";"112482";"128291";"138219";"161064";"185681";"194147";"217028";"259749";"303476";"398948";"510967"
"Aramina (SP)";"30600";"28618";"37172";"44117";"42716";"44396";"70414";"67432";"71501";"72299";"79936";"93382";"90807"
"Arandu (SP)";"21019";"21619";"29397";"33379";"37280";"40758";"42886";"50013";"51973";"68921";"109048";"108471";"93162"
"Arapeí (SP)";"7629";"10182";"9288";"11379";"11654";"13807";"15513";"16400";"18717";"26326";"29756";"27751";"27375"
"Araraquara (SP)";"1849776";"1945051";"2091251";"2301278";"2292180";"2757742";"3125027";"3370137";"3919902";"4193243";"4898016";"5158065";"5681826"
"Araras (SP)";"1173685";"1328412";"1312564";"1497453";"1491409";"1639513";"1976557";"2064757";"2141150";"2407245";"2593456";"2733913";"2987204"
"Arco-Íris (SP)";"10458";"12375";"23360";"29223";"40171";"37872";"33977";"38033";"40155";"40811";"48672";"50089";"62778"
"Arealva (SP)";"32675";"43007";"51977";"53523";"58659";"62697";"69413";"98755";"98477";"128295";"134261";"152374";"162420"
"Areias (SP)";"10542";"12791";"15737";"20925";"20844";"24741";"25428";"27979";"31537";"38423";"34317";"36774";"37822"
"Areiópolis (SP)";"32192";"37449";"44720";"55001";"53544";"63818";"78183";"73456";"74793";"88483";"97151";"112259";"134281"
"Ariranha (SP)";"132874";"150122";"224586";"322785";"224926";"423277";"663947";"513381";"546262";"757854";"931706";"583572";"556527"
"Artur Nogueira (SP)";"201227";"244162";"259862";"234989";"253383";"302954";"381550";"413264";"434225";"485145";"540939";"648476";"673374"
"Arujá (SP)";"443478";"515196";"595672";"653535";"819954";"914053";"1076513";"1158498";"1502108";"1529640";"2045698";"2072722";"2149451"
"Aspásia (SP)";"8201";"12034";"12860";"13655";"12104";"14210";"15787";"18212";"17120";"18544";"23205";"28765";"28730"
"Assis (SP)";"557893";"609743";"668341";"758014";"833870";"873095";"938071";"1031099";"1087258";"1258172";"1357756";"1617657";"1759971"
"Atibaia (SP)";"719195";"831620";"999109";"1162402";"1316224";"1444383";"1660826";"2021904";"2196639";"2625582";"3063027";"3382322";"3565605"
"Auriflama (SP)";"67115";"76008";"87121";"94023";"104416";"107672";"110379";"139812";"149853";"177035";"201893";"229599";"243667"
"Avaí (SP)";"18359";"24122";"26937";"32283";"37921";"38098";"38760";"44178";"45302";"46512";"71109";"112211";"96307"
"Avanhandava (SP)";"42482";"40000";"49499";"63248";"66814";"75994";"105445";"100837";"97303";"119174";"147700";"159665";"173168"
"Avaré (SP)";"391908";"433910";"474252";"572166";"624025";"672921";"755023";"787912";"847368";"1068963";"1279284";"1310292";"1416980"
"Bady Bassitt (SP)";"54674";"65431";"120770";"102235";"131806";"191237";"149680";"207144";"166014";"192818";"325719";"427093";"366690"
"Balbinos (SP)";"5855";"8090";"9407";"10213";"11129";"12297";"13841";"16477";"20084";"23050";"25495";"32572";"34499"
"Bálsamo (SP)";"31311";"38999";"48065";"63188";"69164";"71332";"86081";"92559";"105945";"122762";"138523";"159463";"172936"
"Bananal (SP)";"29102";"33052";"39362";"44176";"46412";"68515";"63430";"67714";"77226";"88275";"98680";"103117";"110639"
"Barão de Antonina (SP)";"10132";"11822";"16013";"17816";"18845";"17331";"20050";"20959";"23546";"24476";"30745";"42512";"72330"
"Barbosa (SP)";"18801";"20552";"26684";"31400";"31288";"30065";"37332";"40356";"43133";"50046";"66588";"75806";"81926"
"Bariri (SP)";"165268";"206823";"241899";"267922";"290992";"335213";"387993";"373558";"366067";"512053";"588619";"701651";"672789"
"Barra Bonita (SP)";"425605";"392113";"408863";"365405";"447641";"522519";"481803";"548351";"538470";"720029";"810222";"819022";"598330"
"Barra do Chapéu (SP)";"10899";"11744";"13968";"16457";"18257";"19921";"20964";"30189";"32158";"33207";"38270";"46573";"44395"
"Barra do Turvo (SP)";"15044";"18739";"20400";"22453";"24913";"29160";"32341";"35564";"37217";"44991";"51483";"57636";"59540"
"Barretos (SP)";"727351";"844928";"980127";"1091086";"1188573";"1295252";"1466239";"1435900";"1548989";"1653272";"1987915";"2191997";"2321646"
"Barrinha (SP)";"83097";"91522";"115759";"153159";"154329";"187667";"217698";"196048";"232556";"267685";"326283";"330262";"353381"
"Barueri (SP)";"10065839";"10808989";"11848523";"13707696";"17102173";"21735747";"25570470";"26076920";"27143412";"26909802";"27759888";"32052706";"33075587"
"Bastos (SP)";"114469";"118426";"141005";"185865";"213275";"215173";"211618";"270919";"301961";"322356";"362611";"540953";"639953"
"Batatais (SP)";"401192";"396404";"494860";"634202";"638449";"688458";"808294";"766086";"783287";"895352";"1125702";"1143962";"1183147"
"Bauru (SP)";"2573412";"2585423";"2955111";"3199374";"3557757";"4146451";"4721351";"5259123";"5984049";"6793848";"7417051";"7915303";"8430517"
"Bebedouro (SP)";"1844335";"1647691";"2796983";"3797949";"4155445";"1749809";"2863015";"3248726";"2747628";"2530471";"3102788";"3248690";"3557672"
"Bento de Abreu (SP)";"27685";"46940";"49677";"51573";"52436";"56287";"68093";"52709";"49395";"65185";"83589";"97649";"87374"
"Bernardino de Campos (SP)";"50446";"57426";"64771";"79285";"78948";"82650";"96965";"98316";"116796";"125405";"143184";"156821";"173073"
"Bertioga (SP)";"214821";"230764";"252650";"304583";"337384";"392265";"443052";"474114";"542287";"665943";"754557";"797418";"885589"
"Bilac (SP)";"29703";"37297";"44740";"51814";"55350";"57107";"63066";"67514";"73817";"81465";"90518";"98972";"107809"
"Birigui (SP)";"567119";"617477";"694913";"806416";"904605";"1002127";"1084478";"1130362";"1256158";"1409196";"1632091";"1884936";"2035189"
"Biritiba Mirim (SP)";"96079";"117308";"143372";"155306";"174622";"171022";"195155";"222082";"223789";"274981";"288180";"367839";"383882"
"Boa Esperança do Sul (SP)";"73671";"116214";"133386";"163413";"139819";"132433";"192973";"199653";"141971";"147370";"169373";"270061";"284740"
"Bocaina (SP)";"63001";"77666";"121632";"113042";"125402";"139256";"154562";"155830";"171140";"175762";"180554";"241405";"235590"
"Bofete (SP)";"34112";"42915";"47379";"60267";"66715";"84321";"76528";"87658";"108788";"116289";"125958";"170230";"165818"
"Boituva (SP)";"275513";"305217";"381215";"476310";"494471";"580702";"650101";"717440";"929749";"1223768";"1309276";"1551777";"2120462"
"Bom Jesus dos Perdões (SP)";"63398";"71641";"83487";"100041";"117778";"131673";"147193";"169016";"186077";"226676";"279044";"342036";"355875"
"Bom Sucesso de Itararé (SP)";"10443";"10808";"12992";"15037";"17851";"20670";"21470";"25053";"28663";"31962";"30372";"42486";"41821"
"Borá (SP)";"5240";"5764";"8976";"10936";"12009";"16891";"39690";"18649";"21601";"50331";"32650";"27850";"49765"
"Boracéia (SP)";"42331";"44867";"49384";"53651";"61096";"68770";"77519";"76613";"74839";"89559";"103380";"123526";"119642"
"Borborema (SP)";"72745";"126118";"133796";"151551";"132545";"145871";"176582";"170067";"180312";"201262";"227656";"266930";"262331"
"Borebi (SP)";"9593";"12150";"19212";"18449";"32782";"31183";"34362";"26408";"29344";"34412";"48389";"80607";"68657"
"Botucatu (SP)";"792607";"911228";"1074765";"1319220";"1547936";"1725485";"1907431";"2265140";"2131647";"2316924";"2858960";"3100826";"3215049"
"Bragança Paulista (SP)";"1014592";"1101247";"1119273";"1216329";"1382650";"1588220";"1866020";"2042968";"2185314";"2389111";"2770561";"3112850";"3219133"
"Braúna (SP)";"15596";"18120";"24959";"24973";"25594";"27343";"31818";"39749";"36424";"40778";"48405";"56884";"61316"
"Brejo Alegre (SP)";"13635";"12713";"18975";"24751";"21967";"20663";"20074";"30004";"32907";"98921";"157134";"115456";"105784"
"Brodowski (SP)";"78320";"92814";"104293";"116399";"115239";"131743";"147691";"157450";"175068";"215100";"253585";"282159";"338257"
"Brotas (SP)";"113522";"168984";"188558";"198552";"186466";"238099";"281393";"287278";"343379";"349531";"393599";"455322";"458602"
"Buri (SP)";"62929";"82165";"90556";"109990";"132826";"129176";"136700";"199664";"205462";"246500";"295005";"342158";"313914"
"Buritama (SP)";"111323";"111154";"124839";"128097";"148822";"162084";"168464";"190001";"201786";"230606";"257834";"273051";"302413"
"Buritizal (SP)";"35631";"36417";"54710";"117362";"158112";"227525";"104344";"101551";"120522";"245297";"273192";"237956";"160939"
"Cabrália Paulista (SP)";"27042";"28720";"40107";"40254";"42911";"52698";"58524";"69975";"103109";"113451";"168629";"141448";"144789"
"Cabreúva (SP)";"517337";"555092";"557507";"524607";"600572";"690080";"652417";"862841";"950815";"1091428";"1209946";"2378403";"3131482"
"Caçapava (SP)";"982176";"1022033";"950691";"1161515";"1389186";"1435092";"1748707";"1902891";"2019836";"2136721";"2386199";"2494061";"2455286"
"Cachoeira Paulista (SP)";"120039";"125713";"145535";"163633";"187029";"227180";"250751";"276332";"293639";"347414";"378646";"403241";"433537"
"Caconde (SP)";"78770";"76982";"112313";"101137";"152164";"161820";"181904";"173196";"222769";"221305";"222766";"241763";"292616"
"Cafelândia (SP)";"71249";"88578";"103731";"120186";"118437";"143082";"161065";"163258";"169701";"192311";"246470";"293832";"210536"
"Caiabu (SP)";"15250";"18550";"24473";"25923";"26133";"27623";"30492";"33558";"32483";"32694";"48980";"50907";"50212"
"Caieiras (SP)";"548411";"527431";"667541";"859438";"909399";"996252";"1109379";"1305351";"1587681";"1701581";"1892803";"2055458";"2294002"
"Caiuá (SP)";"20046";"25649";"35730";"40488";"43245";"45396";"51776";"73470";"80727";"101315";"95685";"85999";"88413"
"Cajamar (SP)";"922951";"1328943";"1370302";"1593489";"1702817";"1858854";"2252785";"3058839";"3765117";"4134732";"5504215";"5845827";"5623205"
"Cajati (SP)";"195757";"205888";"258446";"331899";"334782";"306873";"330881";"340143";"422722";"472768";"522754";"535255";"634437"
"Cajobi (SP)";"42011";"64228";"71527";"91909";"74576";"75385";"87668";"101211";"100711";"114098";"117135";"132191";"125419"
"Cajuru (SP)";"98602";"105183";"129086";"140552";"152524";"178423";"217226";"211794";"211332";"257858";"285819";"294604";"359903"
"Campina do Monte Alegre (SP)";"35770";"41267";"46996";"54976";"62485";"62103";"61500";"69722";"65137";"73843";"91417";"113642";"89739"
"Campinas (SP)";"12534446";"12721650";"14900756";"16091742";"18244532";"22642867";"23629697";"26767620";"29303152";"31653414";"36712724";"40641431";"42766024"
"Campo Limpo Paulista (SP)";"390386";"436127";"597020";"540194";"598661";"652498";"690715";"724820";"781083";"838089";"976303";"1089052";"1143429"
"Campos do Jordão (SP)";"253698";"278598";"303960";"347953";"368077";"403112";"444491";"463532";"492138";"546451";"612201";"661084";"700274"
"Campos Novos Paulista (SP)";"22006";"30756";"44810";"50741";"64165";"51217";"64886";"65674";"65129";"83590";"83084";"100942";"103251"
"Cananéia (SP)";"36882";"42124";"51753";"57670";"63383";"71971";"80816";"86092";"92206";"101511";"112505";"122743";"134709"
"Canas (SP)";"10781";"10432";"16417";"18792";"19871";"20717";"22979";"30409";"29133";"34602";"36266";"42727";"52414"
"Cândido Mota (SP)";"221970";"223788";"321265";"349326";"367644";"326474";"342749";"399390";"431883";"442458";"499462";"571469";"655368"
"Cândido Rodrigues (SP)";"17428";"31233";"27650";"28920";"34149";"30754";"46995";"41239";"43012";"48429";"54508";"57148";"56947"
"Canitar (SP)";"13443";"11245";"14240";"16971";"17495";"19288";"23131";"25886";"30153";"35197";"37539";"42286";"47552"
"Capão Bonito (SP)";"192203";"222998";"255049";"283919";"315135";"327010";"358345";"414896";"488693";"581453";"630215";"616825";"693844"
"Capela do Alto (SP)";"51286";"67178";"76677";"102213";"111224";"107485";"127148";"135955";"147345";"171677";"186315";"211966";"208291"
"Capivari (SP)";"377574";"401256";"447526";"541860";"577189";"644318";"667556";"735810";"810624";"884427";"1095720";"1258255";"1277900"
"Caraguatatuba (SP)";"421871";"468280";"523305";"576742";"613124";"690080";"765007";"825506";"916226";"1147092";"1344034";"1444353";"1577192"
"Carapicuíba (SP)";"1230303";"1259190";"1521730";"1615883";"1748653";"1924342";"2174746";"2379425";"2671025";"3068175";"3429561";"3895797";"4136551"
"Cardoso (SP)";"51258";"62400";"69630";"76450";"84651";"83647";"86032";"112440";"110242";"126275";"144516";"155150";"173457"
"Casa Branca (SP)";"172767";"325949";"326573";"313065";"340457";"332738";"465321";"559087";"496033";"566629";"530099";"630568";"646725"
